Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,94.187500,94.375000,87.750000,88.312500,65.690536,1822600
2000-01-04,87.000000,87.500000,82.250000,82.750000,61.552921,1647700
2000-01-05,80.875000,81.875000,78.375000,78.875000,58.670509,1516600
2000-01-06,78.625000,84.500000,78.625000,82.250000,61.180992,1845100
2000-01-07,83.062500,83.187500,79.875000,82.562500,61.413429,1127400
2000-01-10,81.750000,84.875000,81.750000,84.375000,62.761627,803100
2000-01-11,85.000000,86.250000,84.562500,84.812500,63.087074,808600
2000-01-12,84.125000,86.000000,83.375000,84.375000,62.761627,916100
2000-01-13,85.125000,85.125000,82.875000,84.500000,62.854652,711000
2000-01-14,85.500000,86.937500,85.312500,85.625000,63.691460,607000
2000-01-18,85.000000,89.125000,84.750000,86.875000,64.621254,1095700
2000-01-19,86.875000,89.375000,86.750000,87.562500,65.132652,636900
2000-01-20,87.000000,87.937500,84.875000,85.937500,64.011658,621800
2000-01-21,86.187500,86.187500,84.562500,85.687500,63.825394,542500
2000-01-24,87.500000,87.500000,81.500000,81.750000,60.892506,712900
2000-01-25,83.000000,84.187500,82.375000,83.875000,62.475346,749300
2000-01-26,84.125000,88.500000,84.125000,88.250000,65.734116,1086600
2000-01-27,88.250000,89.937500,87.625000,89.000000,66.292770,702000
2000-01-28,87.500000,88.000000,86.125000,87.000000,64.803032,776800
2000-01-31,87.000000,91.687500,86.500000,91.625000,68.248016,801800
2000-02-01,92.875000,93.000000,90.500000,91.250000,67.968681,813100
2000-02-02,90.750000,91.625000,88.625000,91.125000,67.875587,964700
2000-02-03,90.000000,91.125000,84.812500,85.375000,63.592625,2213300
2000-02-04,87.250000,87.250000,83.562500,84.687500,63.080551,1451700
2000-02-07,84.437500,86.500000,83.500000,85.750000,63.871964,929800
2000-02-08,85.750000,89.625000,85.750000,89.437500,66.618652,1024800
2000-02-09,89.437500,89.437500,86.562500,86.750000,64.616821,397100
2000-02-10,86.750000,87.312500,85.500000,86.625000,64.523743,503200
2000-02-11,86.437500,88.750000,85.000000,85.125000,63.406422,856900
2000-02-14,85.125000,86.875000,84.625000,86.500000,64.430626,627800
2000-02-15,86.250000,86.625000,85.125000,86.500000,64.430626,542400
2000-02-16,86.750000,87.312500,82.875000,82.937500,61.777031,720300
2000-02-17,84.750000,84.750000,81.125000,82.125000,61.171844,895500
2000-02-18,84.500000,84.500000,80.750000,80.812500,60.194206,925500
2000-02-22,81.250000,82.375000,80.687500,81.562500,60.752831,720100
2000-02-23,81.312500,87.000000,81.062500,85.750000,63.871964,702900
2000-02-24,85.812500,89.937500,85.500000,89.625000,66.758316,1199800
2000-02-25,89.437500,94.000000,88.250000,89.250000,66.478981,1333000
2000-02-28,89.250000,89.250000,87.000000,88.000000,65.547890,518000
2000-02-29,88.750000,92.500000,88.000000,92.500000,68.899796,1381200
2000-03-01,93.250000,96.750000,93.187500,94.750000,70.575706,1488900
2000-03-02,95.250000,97.875000,94.125000,96.250000,71.693054,1819200
2000-03-03,97.000000,102.500000,96.750000,102.500000,76.348404,2295900
2000-03-06,102.750000,105.250000,102.375000,103.687500,77.232941,1421000
2000-03-07,103.937500,105.750000,102.437500,104.875000,78.117470,1041300
2000-03-08,105.000000,105.375000,99.687500,101.750000,75.789764,1041100
2000-03-09,101.750000,108.187500,101.250000,107.187500,79.839973,535500
2000-03-10,109.750000,119.000000,108.500000,112.250000,83.610817,2034400
2000-03-13,107.500000,115.500000,106.500000,110.375000,82.214172,1454200
2000-03-14,111.500000,112.875000,103.500000,104.750000,78.024338,653100
2000-03-15,102.500000,105.500000,101.375000,103.562500,77.139877,700300
2000-03-16,103.875000,105.000000,99.250000,103.312500,76.953613,2024800
2000-03-17,104.125000,117.375000,103.250000,116.500000,86.776520,2099400
2000-03-20,117.625000,123.000000,112.562500,113.437500,84.495354,2254000
2000-03-21,111.000000,119.812500,106.500000,118.250000,88.080017,2692800
2000-03-22,114.875000,117.937500,114.812500,117.156250,87.265312,1258900
2000-03-23,116.500000,119.000000,115.125000,119.000000,88.638634,1656900
2000-03-24,119.000000,128.000000,117.687500,121.312500,90.361137,1934400
2000-03-27,118.250000,119.375000,111.750000,112.000000,83.424583,1315000
2000-03-28,109.500000,115.500000,108.500000,113.250000,84.355698,1649400
2000-03-29,114.000000,116.125000,110.750000,114.187500,85.054001,754300
2000-03-30,112.625000,115.000000,105.125000,106.875000,79.607178,1241200
2000-03-31,108.000000,111.875000,103.312500,105.250000,78.396782,1693300
2000-04-03,108.750000,110.812500,105.500000,105.500000,78.583000,1789500
2000-04-04,106.000000,106.250000,91.125000,98.250000,73.182739,3739600
2000-04-05,97.500000,99.625000,93.500000,97.437500,72.577553,3238700
2000-04-06,101.000000,106.000000,100.000000,106.000000,78.955421,1675700
2000-04-07,106.250000,107.250000,101.187500,102.500000,76.348404,1373500
2000-04-10,104.000000,109.125000,103.562500,107.062500,79.746849,1749900
2000-04-11,107.125000,108.312500,104.312500,104.812500,78.070908,1147200
2000-04-12,106.500000,107.250000,96.500000,96.562500,71.925797,2598500
2000-04-13,96.750000,98.125000,92.312500,95.250000,70.948158,3377700
2000-04-14,92.750000,92.750000,79.437500,82.750000,61.637386,4855800
2000-04-17,81.750000,87.750000,81.000000,87.500000,65.175461,3489600
2000-04-18,87.500000,94.937500,86.875000,93.750000,69.830864,2191500
2000-04-19,93.437500,93.500000,89.625000,92.062500,68.661766,1390200
2000-04-20,91.812500,91.812500,88.000000,88.812500,66.237885,1061100
2000-04-24,88.812500,91.500000,84.625000,86.875000,64.792877,1764300
2000-04-25,88.625000,97.875000,87.500000,97.062500,72.390862,1341500
2000-04-26,97.562500,99.125000,94.000000,94.500000,70.479698,1626100
2000-04-27,91.500000,96.250000,90.375000,95.187500,70.992439,1772400
2000-04-28,96.250000,97.500000,90.875000,93.250000,69.547447,1145600
2000-05-01,93.250000,101.625000,93.250000,97.000000,72.344231,2319300
2000-05-02,95.000000,97.625000,92.500000,93.000000,69.360985,1666500
2000-05-03,92.250000,95.750000,89.687500,91.125000,67.962585,1931000
2000-05-04,91.375000,92.000000,88.125000,90.187500,67.263359,920700
2000-05-05,89.375000,92.187500,87.437500,89.875000,67.030334,1378100
2000-05-08,86.000000,87.875000,85.750000,87.312500,65.119156,2817000
2000-05-09,86.000000,87.000000,84.750000,85.625000,63.860607,1739100
2000-05-10,83.000000,83.687500,80.562500,81.437500,60.737511,2340600
2000-05-11,81.500000,83.250000,80.437500,80.875000,60.317947,2276000
2000-05-12,80.250000,84.875000,80.250000,83.781250,62.485523,1911200
2000-05-15,83.812500,88.000000,83.812500,87.062500,64.932678,1668900
2000-05-16,88.000000,89.250000,84.000000,85.500000,63.767372,2538400
2000-05-17,85.125000,86.000000,83.000000,84.687500,63.161411,1231000
2000-05-18,83.875000,87.500000,83.875000,85.250000,63.580883,1493000
2000-05-19,84.250000,85.000000,82.125000,84.562500,63.068195,1537500
2000-05-22,83.500000,83.875000,80.625000,82.000000,61.157005,1345600
2000-05-23,81.875000,85.500000,81.500000,82.812500,61.763016,1203900
2000-05-24,82.625000,83.625000,79.500000,80.000000,59.665375,1530200
2000-05-25,80.500000,83.375000,71.937500,73.000000,54.444653,4030100
2000-05-26,73.125000,73.375000,69.375000,69.812500,52.067375,2378100
2000-05-30,71.500000,73.437500,70.625000,72.000000,53.698864,2205300
2000-05-31,72.000000,74.875000,71.125000,73.562500,54.864174,1363800
2000-06-01,74.562500,77.687500,73.625000,76.375000,56.961781,1684900
2000-06-02,84.500000,87.250000,83.500000,86.875000,64.792877,3567900
2000-06-05,86.875000,87.875000,84.500000,84.500000,63.021572,1576600
2000-06-06,84.000000,85.125000,81.750000,83.125000,61.996017,1033200
2000-06-07,82.875000,88.000000,82.375000,86.687500,64.653076,1319900
2000-06-08,86.875000,87.625000,85.062500,85.062500,63.441067,1255000
2000-06-09,85.125000,86.562500,83.250000,83.250000,62.089275,1006800
2000-06-12,83.312500,84.312500,81.750000,83.312500,62.135906,732800
